10,AMST 201 Introduction to American Studies,"Introduces students to basic theories and methods used for the interdisciplinary analysis of U.S. cultural materials and to the multiplicity of texts used for cultural analysis (mass media, music, film, fiction and memoir, sports, advertising, and popular rituals and practices). Particular attention is paid to the interplay between systems of representation and social, political, and economic institutions, and to the production, dissemination, and reception of cultural materials. Students will explore the shaping power of culture as well as the possibilities of human agency.Attributes: Appropriate for First-Year, ES Discip Specializations Crs, SINE Elective, Social Sciences (Division II)"
11,AMST 202 Workshop in Cultural Analysis,"Intensive workshop focused on theoretical approaches to the interpretation of social and cultural materials. The course provides an early exposure to theories and methods that will be returned to in greater depth in the senior year. Intended to develop independent skills in analysis of primary texts and documents.Attributes: Social Sciences (Division II), Writing in the Discipline"
12,AMST 301 Topics in American Studies,"Selected topics in American studies at the intermediate level. Topics offered will vary from year to year, reflecting the interests of faculty and students as well as evolving concerns of the field.Prerequisite: 201 or permission of the instructor. This course is cross-listed as LALC 301 when topic is relevant. NOTE: When cross-listed with Film Studies, prerequisite is one course in either American Studies or Film Studies."
13,AMST 302 Ethnography in American Studies,"Approaches to the responsible collection and analysis of social and cultural materials to be found in the immediate community and environment. Intensive training in participant observation, interviewing, and historical analysis. The ethics of field work will be stressed.Prerequisite: Completion of, or concurrent enrollment in 202, or permission of the instructor.Attributes: Social Sciences (Division II)"
14,AMST 303 Topics in Cultural Theory/Workshops in Cultural Theory,"This seminar course develops majors' knowledge of and facility with various theoretical approaches and research methods informing the interdiscipline of American Studies. Topics will vary based on instructors' expertise, and will draw upon key sources of American Studies thought and scholarly practice such as literature, sociology, cultural studies, philosophy, women's and gender studies, cultural anthropology, and history. The course will further develop students' research and writing skills, bridging the 200-level core courses (201 and 202) and the senior seminar sequence (401 and 402). Majors should take this course prior to taking 401, though taking both courses at the same time is possible; but majors must take AMST 303 prior to their taking AMST 402.Prerequisite: 201, 202 or permission of the instructor."
15,AMST 401 Research and Methods in American Studies,"An integrative seminar focusing on the theory and methods of cultural analysis and interdisciplinary study. Students examine the origins, history, and current state of American studies, discuss relevant questions, and, in research projects, apply techniques of interdisciplinary study to a subject related to thematic concentration.Prerequisite: 303, Senior American studies major, or permission of the instructor.Attributes: Social Sciences (Division II)"
16,AMST 402 Writing in American Studies,"Students research and write a substantial research project, normally drawing on their work in 401.Prerequisite: 303, 401.Attributes: Social Sciences (Division II)"
17,ANTH 100 Introduction to Biological Anthropology,"This course provides a comprehensive introduction to the field of biological anthropology. We will examine the development of evolutionary theory. We will then apply evolutionary theory to understand principles of inheritance, familial and population genetics in humans, human biological diversity and adaptations to different environments, behavioral and ecological diversity in nonhuman primates, and the analysis of the human skeleton and fossil record to understand the origin and evolution of the human family.Three hours classroom and three hours laboratory a week. Offered three semesters over a two-year period.Attributes: Appropriate for First-Year, ES Foundations of Env Sci Crs, Lab Sciences (Division III)"
18,ANTH 101 Anthropology for the 21st Century,"The primary focus is on cultural anthropology, or the comparative study of human diversity across cultures. Other subfields within anthropology, namely archaeology, biological anthropology, and linguistic anthropology will also contribute perspectives. The goal is to demonstrate how anthropological perspectives enlighten our understanding of contemporary social phenomena and problems, highlighting the relevance of anthropology to everyday lives and especially to issues of human diversity.Offered every semester.Attributes: ARCH Area B Elective, Appropriate for First-Year, Comparative Civilizations, ES Discip Specializations Crs, Social Sciences (Division II)"
19,ANTH 110 Archaeology and World Prehistory,"Archaeology is the primary means by which we decipher human prehistory. Using archaeology as a guide we will start with the origins of culture from its rudimentary beginnings nearly 4 million years ago, follow the migrations of hunters and gatherers, explore the first farming villages and eventually survey the complex urban civilizations of the Old and New Worlds. We will examine the development of technology, economic and social organization through the lens of archaeological techniques and discoveries throughout the world.This course is cross-listed as ARCH 110. Offered every year.Attributes: Appropriate for First-Year, Arts (Division I C), Comparative Civilizations, ES Env St Specializations Crs, SINE Elective, Social Sciences (Division II)"
20,ANTH 210 Language and Culture,"This course examines the relationship of language to culture and society. It includes the study of sociolinguistics, language acquisition, cognition, and descriptive linguistics. The student is introduced to major perspectives on language from Whorf, Hymes, de Saussure, and Levi-Strauss.Attributes: Appropriate for First-Year, Social Sciences (Division II)"
21,ANTH 211 Sociolinguistics,"Sociolinguistics is the branch of linguistics which studies language as social and cultural phenomena. Language is inseparably associated with members of a society where it is spoken, and thus social factors are inevitably reflected in those members' speech. This course surveys topics on language and social class, language and ethnicity, language and gender, language and context, language and social interactions, language and nation, and language and geography. These topics show how language unites speakers as much as it divides speakers within a society and/or across societies. The topics are approached through lectures, class discussions, readings, as well as social surveys.Offered every other year.Attributes: Appropriate for First-Year, Social Sciences (Division II)"
22,ANTH 212 Development Anthropology,"Sociocultural change, development, and modernization in both Western society and the Third World are examined in terms of theory and practice. Emphasis is on the planning, administration, and evaluation of development projects in agriculture, energy, education, health, and nutrition. The increasingly important role of professional anthropologists and anthropological data is examined in the context of government policies and international business.Offered every other year.Attributes: Appropriate for First-Year, ES Discip Specializations Crs, INST Globaliz & Sustain Course, SINE Elective, Social Sciences (Division II)"
23,ANTH 214 Ecological Anthropology,"An examination of human adaption to changing environments with an emphasis on systems analysis. Special attention to development and current environmental problems.This course is cross-listed as ENST 214. Offered every other year.Attributes: ARCH Area B Elective, Appropriate for First-Year, ES Society & Environment Crs, INST Globaliz & Sustain Course, SINE Elective, Social Sciences (Division II)"
24,ANTH 216 Medical Anthropology,"Comparative analysis of health, illness, and nutrition within environmental and socio-cultural contexts. Evolution and geographical distribution of disease, how different societies have learned to cope with illness, and the ways traditional and modern medical systems interact.Offered every other year.Attributes: Appropriate for First-Year, ES Discip Specializations Crs, Health Studies Elective, NRSC Non-Div 3 Elective, Social Sciences (Division II)"
25,"ANTH 217 Gender, Culture, and Transnationalism","This course draws together three important ideas in anthropology --gender, culture, and transnationalism -- to provide insight into the basis for similarities and variations in gender constructs, roles, and statuses across different cultural, political, and economic landscapes. While the course is comparative, it also examines the margins of populations and more abstract collectivities to analyze how new, hybrid gender identities and imagined cultures are produced and experienced, as people and ideas move around the globe.Offered every other year.Attributes: ARCH Area B Elective, Appropriate for First-Year, Comparative Civilizations, INST Globaliz & Sustain Course, Social Sciences (Division II)"
26,ANTH 218 Biosocial Aspects of Female Sexuality,"This course explores the biological and cultural aspects of being female. We first examine ecology and reproduction in nonhuman primates, and anatomy and physiology of the reproductive system. We then explore biological and social aspects of being female throughout the human life cycle, including sexual differentiation, infancy, childhood, adolescence, adulthood and senescence. Finally, we discuss important issues related to female sexuality from a cross-cultural perspective, such as sex and gender roles, sexual orientation, birth control and family planning, sexually transmitted diseases, body image, and violence against women.Offered every other year.Attributes: Appropriate for First-Year, Social Sciences (Division II)"
27,ANTH 222 Contemporary Peoples of Latin America,"An examination of the life of present-day primitive and peasant peoples of Middle and South America. These societies are seen holistically, and as they relate to urban and state centers.This course is cross-listed as LALC 222. Offered every other year.Attributes: Appropriate for First-Year, ES Discip Specializations Crs, INST Latin America Course, Lat Am, Latino, Carib St Elect, Portuguese & Brazilian Studies, Social Sciences (Division II)"
28,ANTH 223 Native Peoples of Eastern North America,"See course description with History 389 listing.Attributes: AMST Struct & Instit Elective, ARCH Area B Elective, ES Discip Specializations Crs, Social Sciences (Division II)"
29,ANTH 225 Human Osteology,"This course offers an intensive examination of human biological diversity as revealed through the study of human skeletal remains. We will focus on techniques used to identify skeletal remains in archaeological, paleontological, and forensic contexts, as well as examining human skeletal responses to environmental stress and human growth and development throughout the life cycle.Prerequisite: 100 or 229 or permission of the instructor. Offered every other year. Attributes: ARCH Area B Elective, Health Studies Elective"
30,ANTH 229 Principles of Human Variation and Adaptation,"This course explores anthropological perspectives on modern human biological diversity. We examine genetic variation, biological and cultural responses to environmental stressors, including climate, altitude, nutrition, infectious and chronic diseases, and population growth and demography. We use our understanding of human biological diversity to examine the notion that race is a social phenomenon with no true biological meaning.Offered every other year.Attributes: Appropriate for First-Year, ES Discip Specializations Crs, Social Sciences (Division II)"
31,ANTH 230 Ethnography of Postcolonial Africa,"This course is intended as both an introduction to the ethnography of Africa and an examination of postcolonial situations in Africa. We will learn a great deal about the cultural, social, political, and economic diversity of the continent while avoiding the typological thinking that once characterized area studies. Through ethnography we will learn about African cultures, their historical contingencies, and their entanglements in various fields of power. We will assess the changing influences of pre-colonial traditions, colonialism, postcolonial states, and the global economy.Offered every fall.Attributes: ARCH Area B Elective, Comparative Civilizations, INST Africa Course, Social Sciences (Division II)"
32,ANTH 232 Modern China and Its Diaspora Communities,"This is a comparative course that examines contemporary Chinese communities in the PRC, as well as Chinese immigrant cultures located in Southeast Asia and the U.S. The focus is on both the structure of these communities and the processes of identity formation and re-imagining the ""home"" country or ""native place"" in the midst of considerable flux. The course explicitly uses comparison to deconstruct staid truths about ""the Chinese"" and monolithic ""Chinese culture.""Offered every other year.Attributes: Appropriate for First-Year, EASN Elective Set 3, INST Asia Course, Social Sciences (Division II)"
33,ANTH 233 Anthropology of Religion,"A cross-cultural survey of the functions of religion, magic, and myth in simple and complex societies. Religion and communication. Myth and social structure. A historical summary of the scientific study of religion.Offered every other year.Attributes: ARCH Area B Elective, Appropriate for First-Year, ES Discip Specializations Crs, Social Sciences (Division II)"
34,ANTH 234 African Diaspora,"This course examines the presence and contributions of people of African descent outside the African continent. While we generalize about the Black diasporic experience across continents, we also pause to examine the ways that stories unfold in particular places and at specific historical moments. Because most representations of Africa and her descendants have left Africans on the margins of world history, in this course we pay particular attention to alternative ways of understanding Black diaspora. We draw upon case studies from the United States, the Caribbean, Brazil and Europe during different historical periods.Cross-listed with AMST and SOCI. Offered every other year.Attributes: AFST - Diaspora Course, Appropriate for First-Year, INST Africa Course, Social Sciences (Division II), US Diversity"
35,ANTH 235 State and Ethnicity in Upland Asia,"This course examines the borderlands shared by states in upland Southeast Asia, such as Thailand, Burma and Laos, with China. It looks at dimensions of contemporary migrations and transnationalism among populations historically marginalized, such as the Hmong, and among populations that have a strong identification with states. Linked to political economies and global markets, nationalism and other ideologies defining peoples and their cultures are explored with an eye toward understanding how ideas about race and the other take shape.Offered every other year.Attributes: Appropriate for First-Year, Comparative Civilizations, INST Asia Course, Social Sciences (Division II)"
36,ANTH 236 Japanese Society,"This course is an introduction to contemporary Japanese society. The course examines what everyday life is like in Japan from anthropological and historical perspectives. It explores such major social institutions as families, gender, communities, workplaces, and belief systems. The course focuses as well on the ways in which modernization has affected these institutions and the identities of Japanese people.Attributes: ANTH Ethnographic Course, Comparative Civilizations, EASN Elective Set 3, Social Sciences (Division II)"
37,ANTH 240 Qualitative Methods,"This course introduces students to the theory and methods of social science research, beginning with an examination of the philosophies underlying various research methodologies. The course then focuses on ethnographic field methods, introducing students to the techniques of participant observation, structured and informal interviewing, oral histories, sociometrics, and content analysis. Students design their own field projects. Prerequisite:ANTH 101 or SOCI 110.Attributes: Social Sciences (Division II)"
38,ANTH 241 Measurement and Quantification in the Social Sciences,"This course focuses on quantitative data analysis. Students learn how to design, code, and analyze interviews and surveys. Selected databases and statistical programs are used to analyze current social issues and compare samples.Prerequisite: At least one course in SOCI, ANTH or AMST.Attributes: ARCH Area A Elective, ARCH Area B Elective, LPPM Empirical Social Analysis, Quantitative Reasoning"
39,ANTH 245 Selected Topics Anthropology,"Courses offered on an occasional basis that cover special topics such as African women in development, theories of civilization, anthropology and demography, or anthropological genetics.Attributes: ARCH Area B Elective, Social Sciences (Division II)"
40,ANTH 251 Paleolithic Archaeology,"This course reviews the formative phases in the development of prehistoric cultures and societies during the Plio-Pleistocene in Africa, Europe, and Asia up to the Mesolithic. Archaeological evidence of ecology, subsistence systems, technology, and the evolution of cognitive behavior will be discussed in detail.This course is cross-listed as ARCH 251. Attributes: ARCH Area A Elective, ARCH Area B Elective, Comparative Civilizations, ES Discip Specializations Crs, Social Sciences (Division II)"
41,ANTH 255 Global Eastern Africa,"This course examines global connections in the intersections of culture and power that underlie contemporary issues in eastern Africa. The globally marketed indigenous cultures and exotic landscapes of eastern Africa, like current dilemmas of disease and economic development, are products of complex local and transnational processes (gendered, cultural, social, economic, and political) that developed over time. To understand ethnicity, the success or failure of development projects, the social and economic contexts of tourism, responses to the AIDS crisis, the increasing presence of multinational corporations, and other contemporary issues, we will develop an ethnographic perspective that situates cultural knowledge and practice in colonial and postcolonial contexts. While our focus is on eastern Africa, the course will offer students ways to think about research and processes in other contexts.Offered every two years.Attributes: ARCH Area B Elective, Comparative Civilizations, ES Discip Specializations Crs, INST Africa Course, Social Sciences (Division II)"
42,ANTH 256 Health and Healing in Africa,"This course addresses three interrelated aspects of health and healing in Africa. We examine health in Africa from a biomedical perspective, learning about disease, morbidity, mortality, and biomedical care. We place African health and health care into a framework of political economy, examining the causes and consequences of illness and disease and the forces that shape and constrain care. We also examine the cultural and historical dimensions of health and healing in specific regions of the continent, bringing ethnographic knowledge to bear on contemporary health problems and thereby gaining an understanding of the lived experiences of health and healing in Africa.Attributes: Comparative Civilizations, ES Discip Specializations Crs, NRSC Non-Div 3 Elective, Social Sciences (Division II)"
43,ANTH 260 Environmental Archaeology,"The study of the human past requires knowledge of the biological and geophysical systems in which cultures developed and changed. This course explores past environments and the methods and evidence used to reconstruct them. Emphasis is on the integration of geological, botanical, zoological, and bioarchaeological data used to reconstruct Quaternary climates and environments.This course is cross-listed as ARCH 260. Offered every two years.Attributes: ARCH Area A Elective, ARCH Area B Elective, ES Society & Environment Crs, SINE Elective, Social Sciences (Division II)"
44,ANTH 261 Archaeology of North America,"This course reviews Pre-Columbian landscapes north of Mesoamerica. We consider topics including the timing and process of the initial peopling of the continent, food production, regional systems of exchange, development of social hierarchies, environmental adaption and the nature of initial colonial encounters between Europeans and Native Americans. These questions are addressed primarily by culture area and region.This course is cross-listed as ARCH 261. Offered every two years.Attributes: ARCH Area B Elective, ES Discip Specializations Crs, Social Sciences (Division II), US Diversity"
45,ANTH 262 South American Archaeology,"This course examines the development of prehistoric societies in the South American continent through archaeological data. This course will explore the interactions of culture, economics, and politics in the prehistory of two major regions: the western Andean mountains and Pacific coast, and the eastern lowlands focusing on the Amazon River basin and Atlantic coast. In addition to learning the particular developments in each region, we will address three overarching themes: 1)What role did the environment play in shaping socio-political developments? 2) What influence do ethnographic and ethno-historical sources have on the interpretation of pre-Hispanic societies in South America? 3) What were the interactions between highland and lowland populations, and what influence did they have (if any) on their respective developments?This course is cross-listed as ARCH 262 and LALC 262.Attributes: ARCH Area B Elective, Appropriate for First-Year, Comparative Civilizations, ES Env St Specializations Crs, Lat Am, Latino, Carib St Elect, Social Sciences (Division II), Sustainability Connections"
46,ANTH 290 Archaeological Methods,"This course focuses on archaeological field and laboratory methods through readings, lectures, and hands-on experiences and the data these practices generate. It will cover the essential field methods employed in archaeological survey (pedestrian, aerial, and geophysical) and excavation. This will include the fundamentals of documentation including note-taking, drawing, photography, and map-making. It will also introduce how archaeologists organize and analyze the large quantities and wide range of data recovered in these processes with particular attention to the use of computer databases, especially Geographic Information Systems (GIS). It will provide a general overview of different types of laboratory analysis including lithics, ceramics, metals, plant and animal remains, and discuss the available dating methods. Students will have the opportunity to practice many of the field and lab methods in the Simulated Excavation Field (SEF), and, when available, archaeological sites in the Cumberland Valley. Through these experiences and interactions with a range of archaeological datasets, students will learn how the archaeological record is formed and what its patterns can teach us about ancient human livelihoods. Finally, students will learn to synthesize and present the results of field and laboratory research in reports, a critical genre of writing in the discipline.This course is cross-listed as ARCH 290. Prerequisite:Any two ARCH courses at 100- or 200-level; ARCH 110 highly recommended.Attributes: ES Discip Specializations Crs, Writing in the Discipline"
47,ANTH 300 Archaeological Theory and Interpretation,"This course explores the concepts and theories archaeologists employ to develop interpretations about and reconstructions of past societies. It examines the history of archaeological inquiry from amateur collecting to a profession and science dedicated to the systematic discovery and analysis of material remains and their interpretation. It will explore different traditions of archaeological inquiry particularly in Europe and the study of Classical archaeology and in the Americas with its roots in anthropology. Students will become conversant with contemporary trends in archaeological theory in both areas from evolutionary, ecological, and systems theory perspectives to agent-based approaches that consider gender, power, and daily practices in shaping past societies. Finally, students will engage with pertinent ethical issues surrounding archaeological patrimony.Prerequisite: ARCH 290. This course is cross-listed as ARCH 300. Offered every spring.Attributes: Arts (Division I C), Social Sciences (Division II)"
48,ANTH 310 Nutritional Anthropology,"Food is a biological necessity, yet food preferences and dietary practices are culturally determined and highly variable across time and space. This course examines nutrition and dietary variation from an anthropological perspective. We will first study the basics of food and nutrition, including the nutritional composition of food, nutritional requirements across the human life cycle, and standards for assessing dietary quality in individuals and populations. We will then examine the evolution of human dietary practices and we will explore how dietary variation is at the interface of biology, health, culture, and the environment. We will also learn about the effects of globalization and the commoditization of food on dietary choices, the health consequences of under- and over-nutrition, and the social and historical constraints on food production and consumption in different societies.Prerequisite: At least one course in anthropology or health studies, or permission of instructor.Attributes: ES Discip Specializations Crs, Health Studies Elective"
49,ANTH 331 Principles of Human Evolution,"This course offers an intensive examination of the evolution of the human family, from our earliest ancestors to the origin and dispersal of modern humans. We use skeletal biology, geology, and archaeology to understand the human evolutionary record.Prerequisite: Any of the following: 100, 216, 218, 229 or BIOL 100-level course. Offered every spring.Attributes: ARCH Area B Elective, ES Discip Specializations Crs, NRSC Non-Div 3 Elective, Writing in the Discipline"
50,ANTH 336 Social Distinctions,"This course covers anthropological theories of social hierarchy and stratification. Both the material and ideological bases of social distinction are examined. Gender, class, race, ethnicity, kinship, and slavery are some of the specific topics covered in the course.Prerequisite: 101. Offered every fall.Attributes: ARCH Area B Elective"
51,ANTH 345 Advanced Topics Anthropology,"Courses offered on an occasional basis that cover special topics such as African women in development, theories of civilization, anthropology and demography, or anthropological genetics.Prerequisite dependent upon topic. Attributes: Social Sciences (Division II)"
52,ANTH 395 Archaeological Field Studies,"Application of the fundamentals of archaeological survey, excavation and the laboratory processing and cataloging of artifacts.This course is cross-listed as ARCH 395.Attributes: ARCH Area B Elective"
53,ANTH 396 Field School in Cultural Anthropology,"Ethnographic field study of selected anthropological problems in Cameroon or Mexico. Analysis of cultural, social, economic, and environmental systems using participant observation, interview protocols, and other appropriate methodologies. Pre-departure workshops, six-week field study, and post-fieldwork write-up. Two course credits.Prerequisite: ANTH/SOCI 240. Offered in summer school only.Attributes: Comparative Civilizations, INST Africa Course"
54,ANTH 400 Senior Colloquium,"This course is based on student independent research projects, supervised by the faculty colloquium coordinator, with special advisement from faculty colleagues. Students taking the course are encouraged to build on previous fieldwork experience or to develop new, community-based projects. In some cases, archival research may be substituted for fieldwork. The course can accommodate honors projects begun with faculty mentoring and aimed at publication.Prerequisite: 240, 241. Offered every year.Attributes: Social Sciences (Division II)"
55,ARBI 101 Elementary Arabic,"An introduction to Modern Standard Arabic (MSA). Introduction to speaking, listening, reading and writing skills in the standard means of communication in the Arab world.Attributes: Appropriate for First-Year"
56,ARBI 102 Elementary Arabic,"Continued introduction to MSA with more advanced development of speaking, listening, reading and writing skills through a greater degree of interaction in the classroom.Prerequisite: 101."
57,ARBI 201 Intermediate Arabic,"Introduction to conversation and composition building on the skills developed in 101 and 102.Prerequisite: 102."
58,ARBI 202 Intermediate Arabic,"Continued development of conversation and composition skills using current political and social events, stories, essays, and other materials as the topics for discussion and writing assignments.Prerequisite: 201. This course fulfills the language graduation requirement."
59,ARBI 360 Topics in Arabic Language and Culture,"Thematic study of Arabic language and culture, with emphasis on close reading, comprehension and interpretation, and on honing oral expression and comprehension.Prerequisite: 212, or permission of instructor. Attributes: Humanities (Division I B)"
60,ARCH 110 Archaeology and World Prehistory,"Archaeology is the primary means by which we decipher human prehistory. Using archaeology as a guide we will start with the origins of culture from its rudimentary beginnings nearly 4 million years ago, follow the migrations of hunters and gatherers, explore the first farming villages and eventually survey the complex urban civilizations of the Old and New Worlds. We will examine the development of technology, economic and social organization through the lens of archaeological techniques and discoveries throughout the world.This course is cross-listed as ANTH 110. Attributes: Appropriate for First-Year, Arts (Division I C), Comparative Civilizations, ES Env St Specializations Crs, SINE Elective, Social Sciences (Division II)"
61,ARCH 120 Greek Art & Archaeology,"A general introduction to the art and archaeology of ancient Greece from Prehistoric to Hellenistic times: Bronze Age civilizations (Cycladic, NE Aegean and Trojan, Minoan, Helladic/Mycenaean); Protogeometric, Geometric, Archaeic, Classical, and Hellenistic Greece. A survey of architecture (temple, secular, funerary), sculpture, vase-painting, monumental painting, metalwork, and minor arts of these periods, both on mainland Greece and in the Greek colonies (Asia Minor, Pontus, Syria, Phoenice, Egypt, S. Italy and Sicily); comparative study of typological, iconographical, stylistic, and technical aspects and developments; styles and schools, regional trends. Historical contextualization of ancient Greek art and brief consideration of socio-economic patterns, political organization, religion, and writing. Evaluation of the ancient Greek artistic legacy and contribution to civilization. Field trips to archaeological collections and Museums.This course is cross-listed as CLST 221. Offered every fall.Attributes: ARCH Area A Elective, ARTH Ancient Art, Appropriate for First-Year, Arts (Division I C)"
62,ARCH 130 Roman Archaeology,"A general introduction to the art and archaeology of the Roman world from the Late Republic to the 4th century AD. A survey of architecture (temple, public, domestic, palatial, funerary), monumental painting, sculpture, metalwork, and minor arts of these periods in Italy and the rest of the Roman world; particular emphasis on Rome, Pompeii, Herculaneum, Ostia, Greece/Asia Minor, and North Africa. Comparative study of typological, iconographical, stylistic, and technical aspects and developments; regional trends and foreign influences. Historical and cultural contextualization of Roman art and architecture with consideration of socio-economic patterns, political developments, religion, and writing.This course is cross-listed as CLST 224. Offered occasionally. Attributes: ARCH Area A Elective, ARTH Ancient Art, Appropriate for First-Year, Arts (Division I C)"
63,ARCH 140 Egyptian Art and Archaeology,"A general introduction to the art and archaeology of ancient Egypt from the pre-dynastic period to the Hellenistic era, focusing mainly on the archaeological record of the Old, Middle, and New Kingdom. The course includes a survey of public architecture (temple, palatial, funerary) and domestic/secular architecture, sculpture, wall-paintings and reliefs, metalwork, seal-stones, faience/ivory-carving, and pottery, complemented with a comparative study of typological, iconographical, stylistic, and technical aspects and developments. Special emphasis is given to historical developments and the archaeological evidence for the complex political, socio-economic, and cultural evolution of ancient Egypt, including urbanization and centralization of government, administration and writing (hieroglyphics), social hierarchy and craft specialization, ancient environment and technology. Religion, mythology, and literature are also explored, as well as historical sources, relative and absolute chronology, military power and expansionism, diplomacy, international dynamics and trade contacts, and the legacy and impact of ancient Egypt on the modern world. Course content will also include visits to archaeological collections and/or museums and educational CD-ROMs and videos.Offered every two years.Attributes: ARCH Area A Elective, Arts (Division I C), Comparative Civilizations"
64,ARCH 150 Near Eastern Art and Archaeology,"A general introduction to the art and archaeology of the ancient Near East from the time of the first settlements to the Hellenistic era. This course is a historically oriented survey of the archaeological record of the main cultures that emerged and flourished in the ancient Near East, including the Sumer, Akkadians, Babylonians, Hittites, Assyrians, and Persians. The course includes a survey of public, secular, and funerary architecture, sculpture, wall-paintings, metalwork, and pottery, complemented with a comparative study of typological, iconographical, stylistic, and technical aspects and developments. Special emphasis is given to the archaeological evidence for the complex political, socio-economic, and cultural evolution of the ancient Near East, including urbanization, complex systems of government, socio-economic organization, literacy, with careful consideration of the historical record. Religion, mythology, literature, and science are also explored, as well as military power and expansionism, diplomacy, international dynamics and trade contacts, and the legacy of the ancient Near East to world civilization. Course content includes visits to archaeological collections and/or museums and educational CD-ROMs and videos.Offered every two years.Attributes: ARCH Area A Elective, Arts (Division I C), Comparative Civilizations"
